:START_ID(iata_code),:END_ID(iata_code),:TYPE,flight_number:int,airline:string,date:string,departure_time:string,distance:int
OMA,ORD,IS_FLYING_TO,374,UA,1/1/2015,06:12,416
SMF,PHX,IS_FLYING_TO,635,US,1/1/2015,05:51,647
OAK,PHX,IS_FLYING_TO,646,US,1/1/2015,05:58,646
PVD,CLT,IS_FLYING_TO,1941,US,1/1/2015,05:55,683
RNO,DEN,IS_FLYING_TO,422,UA,1/1/2015,05:57,804
PIT,IAH,IS_FLYING_TO,544,UA,1/1/2015,06:22,1117
DEN,IAH,IS_FLYING_TO,1016,UA,1/1/2015,05:52,862
BOS,BWI,IS_FLYING_TO,4122,WN,1/1/2015,05:56,369
LAS,BWI,IS_FLYING_TO,4822,WN,1/1/2015,06:02,2106
ABQ,HOU,IS_FLYING_TO,2215,WN,1/1/2015,06:07,759
PHX,SLC,IS_FLYING_TO,676,WN,1/1/2015,06:01,507
PIT,FLL,IS_FLYING_TO,2787,WN,1/1/2015,05:59,994
PVD,BWI,IS_FLYING_TO,4859,WN,1/1/2015,06:06,327
SFO,ATL,IS_FLYING_TO,597,WN,1/1/2015,05:54,2139
SFO,ORD,IS_FLYING_TO,1158,UA,1/1/2015,05:57,1846
MCO,EWR,IS_FLYING_TO,1163,UA,1/1/2015,05:55,937
PDX,IAH,IS_FLYING_TO,1188,UA,1/1/2015,06:13,1825
BOS,ORD,IS_FLYING_TO,1198,UA,1/1/2015,05:57,867
SFO,LAX,IS_FLYING_TO,1224,UA,1/1/2015,06:05,337
SAT,LAX,IS_FLYING_TO,1296,UA,1/1/2015,06:16,1211
BOS,LAX,IS_FLYING_TO,1431,UA,1/1/2015,06:03,2611
SEA,EWR,IS_FLYING_TO,1637,UA,1/1/2015,06:06,2402
LAX,ORD,IS_FLYING_TO,1735,UA,1/1/2015,06:07,1744
IAH,PHX,IS_FLYING_TO,410,US,1/1/2015,05:53,1009
MCO,PHX,IS_FLYING_TO,459,US,1/1/2015,05:57,1849
SFO,PHX,IS_FLYING_TO,610,US,1/1/2015,05:57,651
DFW,MCO,IS_FLYING_TO,72,AA,1/1/2015,06:06,985
MIA,PHL,IS_FLYING_TO,196,AA,1/1/2015,06:04,1013
SLC,DFW,IS_FLYING_TO,304,AA,1/1/2015,06:01,989
DCA,DFW,IS_FLYING_TO,175,AA,1/1/2015,,1192
MIA,DFW,IS_FLYING_TO,281,AA,1/1/2015,05:59,1121
BWI,MIA,IS_FLYING_TO,233,AA,1/1/2015,06:43,946
DFW,LGA,IS_FLYING_TO,1100,AA,1/1/2015,05:54,1389
LGA,DFW,IS_FLYING_TO,1103,AA,1/1/2015,,1389
DEN,ORD,IS_FLYING_TO,1028,AA,1/1/2015,06:01,888
MCI,DFW,IS_FLYING_TO,1039,AA,1/1/2015,06:06,460
MCO,DFW,IS_FLYING_TO,1055,AA,1/1/2015,,985
SFO,DFW,IS_FLYING_TO,1180,AA,1/1/2015,,1464
TUL,DFW,IS_FLYING_TO,1345,AA,1/1/2015,05:56,237
LGA,MIA,IS_FLYING_TO,1297,AA,1/1/2015,07:08,1096
LIT,DFW,IS_FLYING_TO,1411,AA,1/1/2015,05:55,304
MIA,LGA,IS_FLYING_TO,1084,AA,1/1/2015,05:58,1096
LAS,DFW,IS_FLYING_TO,1088,AA,1/1/2015,05:57,1055
PDX,DFW,IS_FLYING_TO,1534,AA,1/1/2015,05:56,1616
TPA,DFW,IS_FLYING_TO,1573,AA,1/1/2015,05:54,929
SMF,DFW,IS_FLYING_TO,1660,AA,1/1/2015,06:11,1431
MSY,MIA,IS_FLYING_TO,2204,AA,1/1/2015,05:55,675
LAX,ORD,IS_FLYING_TO,1515,AA,1/1/2015,05:57,1744
OMA,DFW,IS_FLYING_TO,2307,AA,1/1/2015,05:54,583
OKC,DFW,IS_FLYING_TO,2363,AA,1/1/2015,06:10,175
SEA,ANC,IS_FLYING_TO,81,AS,1/1/2015,05:57,1448
FAI,ANC,IS_FLYING_TO,162,AS,1/1/2015,05:44,261
SEA,SJC,IS_FLYING_TO,200,AS,1/1/2015,05:50,697
SEA,OAK,IS_FLYING_TO,342,AS,1/1/2015,05:55,671
PDX,SJC,IS_FLYING_TO,406,AS,1/1/2015,05:55,569
LAX,SEA,IS_FLYING_TO,477,AS,1/1/2015,05:55,954
PHX,SEA,IS_FLYING_TO,631,AS,1/1/2015,05:55,1107
DEN,SEA,IS_FLYING_TO,683,AS,1/1/2015,05:49,1024
GEG,SEA,IS_FLYING_TO,699,AS,1/1/2015,05:58,224
RSW,JFK,IS_FLYING_TO,130,B6,1/1/2015,05:57,1074
PBI,JFK,IS_FLYING_TO,154,B6,1/1/2015,05:59,1028
JFK,PBI,IS_FLYING_TO,353,B6,1/1/2015,05:54,1028
TPA,JFK,IS_FLYING_TO,226,B6,1/1/2015,05:53,1005
FLL,LGA,IS_FLYING_TO,272,B6,1/1/2015,05:59,1076
OAK,LGB,IS_FLYING_TO,447,B6,1/1/2015,05:52,353
LGA,FLL,IS_FLYING_TO,371,B6,1/1/2015,06:00,1076
JFK,MCO,IS_FLYING_TO,583,B6,1/1/2015,05:57,944
EWR,FLL,IS_FLYING_TO,605,B6,1/1/2015,05:56,1065
JFK,TPA,IS_FLYING_TO,525,B6,1/1/2015,05:54,1005
PSE,JFK,IS_FLYING_TO,746,B6,1/1/2015,05:57,1617
MSY,JFK,IS_FLYING_TO,776,B6,1/1/2015,05:50,1182
AUS,JFK,IS_FLYING_TO,794,B6,1/1/2015,05:59,1521
BQN,JFK,IS_FLYING_TO,838,B6,1/1/2015,06:01,1576
TPA,BOS,IS_FLYING_TO,892,B6,1/1/2015,05:54,1185
JAX,JFK,IS_FLYING_TO,1678,B6,1/1/2015,06:00,828
DCA,BOS,IS_FLYING_TO,1790,B6,1/1/2015,05:57,399
JFK,ATL,IS_FLYING_TO,421,DL,1/1/2015,06:05,760
LGA,DTW,IS_FLYING_TO,731,DL,1/1/2015,06:04,502
RNO,SLC,IS_FLYING_TO,743,DL,1/1/2015,06:00,422
BOS,JFK,IS_FLYING_TO,750,DL,1/1/2015,05:56,187
BOS,MSP,IS_FLYING_TO,809,DL,1/1/2015,06:00,1124
LGA,ATL,IS_FLYING_TO,904,DL,1/1/2015,06:01,762
ORD,ATL,IS_FLYING_TO,977,DL,1/1/2015,06:02,606
ANC,MSP,IS_FLYING_TO,1088,DL,1/1/2015,05:57,2519
ATW,ATL,IS_FLYING_TO,1098,DL,1/1/2015,06:01,765
PHX,ATL,IS_FLYING_TO,1205,DL,1/1/2015,08:04,1587
PNS,ATL,IS_FLYING_TO,1234,DL,1/1/2015,05:54,271
MCO,SLC,IS_FLYING_TO,1235,DL,1/1/2015,05:54,1931
ONT,DFW,IS_FLYING_TO,1462,AA,1/1/2015,,1188
DCA,MIA,IS_FLYING_TO,913,AA,1/1/2015,06:05,919
RIC,ATL,IS_FLYING_TO,1961,DL,1/1/2015,05:54,481
LAX,ATL,IS_FLYING_TO,2154,DL,1/1/2015,05:59,1947
BOS,ATL,IS_FLYING_TO,2282,DL,1/1/2015,05:58,946
LAS,DTW,IS_FLYING_TO,2417,DL,1/1/2015,05:59,1749
OKC,ATL,IS_FLYING_TO,1540,DL,1/1/2015,05:50,761
MCO,MSP,IS_FLYING_TO,1574,DL,1/1/2015,05:50,1310
MEM,ATL,IS_FLYING_TO,1700,DL,1/1/2015,06:17,332
TUL,ATL,IS_FLYING_TO,1867,DL,1/1/2015,05:55,674
BWI,DTW,IS_FLYING_TO,1937,DL,1/1/2015,05:51,409
BOS,PHL,IS_FLYING_TO,159,B6,1/1/2015,05:54,280
MCO,LGA,IS_FLYING_TO,198,B6,1/1/2015,05:57,950
FLL,JFK,IS_FLYING_TO,1502,B6,1/1/2015,06:10,1069
SJU,JFK,IS_FLYING_TO,1504,B6,1/1/2015,06:27,1598
BOS,DCA,IS_FLYING_TO,1600,B6,1/1/2015,05:52,399
TYS,DFW,IS_FLYING_TO,2533,EV,1/1/2015,05:59,772
MHT,ORD,IS_FLYING_TO,4213,EV,1/1/2015,05:55,843
SAV,EWR,IS_FLYING_TO,4431,EV,1/1/2015,07:26,708
MEM,EWR,IS_FLYING_TO,4411,EV,1/1/2015,05:52,946
CLT,ORD,IS_FLYING_TO,4756,EV,1/1/2015,05:59,599
TYS,IAD,IS_FLYING_TO,4768,EV,1/1/2015,05:53,419
GRB,ORD,IS_FLYING_TO,4740,EV,1/1/2015,05:56,173
ABE,DTW,IS_FLYING_TO,5103,EV,1/1/2015,05:52,425
JAN,ATL,IS_FLYING_TO,5275,EV,1/1/2015,05:59,341
OAJ,ATL,IS_FLYING_TO,5491,EV,1/1/2015,05:52,399
FAR,ORD,IS_FLYING_TO,5978,EV,1/1/2015,06:03,557
JAN,ORD,IS_FLYING_TO,5917,EV,1/1/2015,05:56,677
ERI,ORD,IS_FLYING_TO,6133,EV,1/1/2015,06:16,398
ATW,ORD,IS_FLYING_TO,6082,EV,1/1/2015,06:00,160
LEX,ORD,IS_FLYING_TO,6122,EV,1/1/2015,05:56,323
CWA,ORD,IS_FLYING_TO,6143,EV,1/1/2015,05:50,212
MSO,DEN,IS_FLYING_TO,865,F9,1/1/2015,,679
ORD,MIA,IS_FLYING_TO,1256,F9,1/1/2015,,1197
CLE,FLL,IS_FLYING_TO,1104,F9,1/1/2015,05:56,1062
IAH,SFO,IS_FLYING_TO,1057,F9,1/1/2015,05:52,1635
SEA,DEN,IS_FLYING_TO,144,F9,1/1/2015,06:05,1024
SFO,IAH,IS_FLYING_TO,1056,F9,1/1/2015,05:52,1635
TTN,ATL,IS_FLYING_TO,901,F9,1/1/2015,05:57,701
ATL,TTN,IS_FLYING_TO,902,F9,1/1/2015,06:19,701
HNL,ITO,IS_FLYING_TO,202,HA,1/1/2015,05:53,216
MAF,DFW,IS_FLYING_TO,2898,MQ,1/1/2015,,309
AMA,DFW,IS_FLYING_TO,2957,MQ,1/1/2015,,312
CLL,DFW,IS_FLYING_TO,2962,MQ,1/1/2015,,164
HOU,DFW,IS_FLYING_TO,3014,MQ,1/1/2015,,247
DFW,BTR,IS_FLYING_TO,3015,MQ,1/1/2015,,383
JLN,DFW,IS_FLYING_TO,3079,MQ,1/1/2015,,327
CID,DFW,IS_FLYING_TO,3189,MQ,1/1/2015,,685
MLI,DFW,IS_FLYING_TO,3302,MQ,1/1/2015,,691
GSP,DFW,IS_FLYING_TO,3338,MQ,1/1/2015,,862
RDU,JFK,IS_FLYING_TO,3350,MQ,1/1/2015,05:55,427
CVG,MIA,IS_FLYING_TO,3355,MQ,1/1/2015,05:56,948
MHK,DFW,IS_FLYING_TO,3251,MQ,1/1/2015,,431
MOB,DFW,IS_FLYING_TO,3377,MQ,1/1/2015,,539
TLH,DFW,IS_FLYING_TO,3441,MQ,1/1/2015,,767
PNS,MIA,IS_FLYING_TO,3540,MQ,1/1/2015,05:55,530
BHM,MIA,IS_FLYING_TO,3488,MQ,1/1/2015,06:00,661
CVG,DFW,IS_FLYING_TO,3597,MQ,1/1/2015,,812
CAE,DFW,IS_FLYING_TO,3611,MQ,1/1/2015,,922
TXK,DFW,IS_FLYING_TO,3678,MQ,1/1/2015,,181
