iata_code:string,name:string,city:string,state:string,:LABEL
ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,Airport
IDA,Idaho Falls Regional Airport,Idaho Falls,ID,Airport
ILG,Wilmington Airport,Wilmington,DE,Airport
ILM,Wilmington International Airport,Wilmington,NC,Airport
IMT,Ford Airport,Iron Mountain/Kingsford,MI,Airport
IND,Indianapolis International Airport,Indianapolis,IN,Airport
INL,Falls International Airport,International Falls,MN,Airport
ISN,Sloulin Field International Airport,Williston,ND,Airport
ISP,Long Island MacArthur Airport,Islip,NY,Airport
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,Airport
ITO,Hilo International Airport,Hilo,HI,Airport
JAC,Jackson Hole Airport,Jackson,WY,Airport
JAN,Jackson-Evers International Airport,Jackson,MS,Airport
JAX,Jacksonville International Airport,Jacksonville,FL,Airport
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,Airport
JLN,Joplin Regional Airport,Joplin,MO,Airport
JMS,Jamestown Regional Airport,Jamestown,ND,Airport
JNU,Juneau International Airport,Juneau,AK,Airport
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,Airport
KTN,Ketchikan International Airport,Ketchikan,AK,Airport
LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,Airport
LAR,Laramie Regional Airport,Laramie,WY,Airport
LAS,McCarran International Airport,Las Vegas,NV,Airport
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,Airport
LAX,Los Angeles International Airport,Los Angeles,CA,Airport
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,Airport
LBE,Arnold Palmer Regional Airport,Latrobe,PA,Airport
LCH,Lake Charles Regional Airport,Lake Charles,LA,Airport
LEX,Blue Grass Airport,Lexington,KY,Airport
LFT,Lafayette Regional Airport,Lafayette,LA,Airport
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,Airport
LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,Airport
LIH,Lihue Airport,Lihue,HI,Airport
LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,Airport
